DNS Name,Serial Number,MAC Address,Box,Ecal Half Sector,
mpd-ecal-hs1-adc-1,0e74-f022,02:A6:B8:74:f0:22,1,1,
mpd-ecal-hs1-adc-2,0d11-985f,02:A6:B8:11:98:5f,1,1,поменять местами с нижней
mpd-ecal-hs1-adc-3,0d6b-92e6,02:A6:B8:6b:92:e6,1,1,поменять местами с верхней
mpd-ecal-hs1-adc-4,0e76-18e3,02:A6:B8:76:18:e3,1,1,
mpd-ecal-hs1-adc-5,0cd1-0fe2,02:A6:B8:d1:0f:e2,2,1,
mpd-ecal-hs1-adc-6,0cd0-a142,02:A6:B8:d0:a1:42,2,1,
mpd-ecal-hs1-adc-7,0cd1-7eef,02:A6:B8:d1:7e:ef,2,1,
mpd-ecal-hs1-adc-8,0cd0-bb91,02:A6:B8:d0:bb:91,2,1,
mpd-ecal-hs1-adc-9,0d6c-209d,02:A6:B8:6c:20:9d,3,1,
mpd-ecal-hs1-adc-10,0cd0-a13b,02:A6:B8:d0:a1:3b,3,1,
mpd-ecal-hs1-adc-11,0980-ae27,02:A6:B8:80:ae:27,3,1,
mpd-ecal-hs1-adc-12,0d6c-3307,02:A6:B8:6c:33:07,3,1,
mpd-ecal-hs2-adc-1,,02:A6:B8:10:EB:51,4,2,
mpd-ecal-hs2-adc-2,,02:A6:B8:AD:F2:93,4,2,
mpd-ecal-hs2-adc-3,,02:A6:B8:A0:CC:B5,4,2,
mpd-ecal-hs2-adc-4,,02:A6:B8:6B:92:6B,4,2,
mpd-ecal-hs2-adc-5,,02:A6:B8:75:B7:0A,5,2,
mpd-ecal-hs2-adc-6,,02:A6:B8:7F:BB:DF,5,2,
mpd-ecal-hs2-adc-7,,02:A6:B8:75:B6:F7,5,2,
mpd-ecal-hs2-adc-8,,02:A6:B8:D1:31:94,5,2,
mpd-ecal-hs2-adc-9,,02:A6:B8:7F:D7:7C,6,2,
mpd-ecal-hs2-adc-10,,02:A6:B8:7F:A5:54,6,2,
mpd-ecal-hs2-adc-11,,02:A6:B8:7F:65:E6,6,2,
mpd-ecal-hs2-adc-12,,02:A6:B8:7F:A5:60,6,2,
mpd-ecal-hs3-adc-1,,02:A6:B8:D1:85:5A,7,3,
mpd-ecal-hs3-adc-2,,02:A6:B8:D1:53:5A,7,3,
mpd-ecal-hs3-adc-3,,02:A6:B8:D0:AD:6F,7,3,
mpd-ecal-hs3-adc-4,,02:A6:B8:D1:0F:EB,7,3,
mpd-ecal-hs3-adc-5,,02:A6:B8:7F:B9:1E,8,3,
mpd-ecal-hs3-adc-6,,02:A6:B8:7F:B8:90,8,3,
mpd-ecal-hs3-adc-7,,02:A6:B8:76:19:3E,8,3,
mpd-ecal-hs3-adc-8,,02:A6:B8:6B:8E:85,8,3,
mpd-ecal-hs3-adc-9,,02:A6:B8:80:29:85,9,3,
mpd-ecal-hs3-adc-10,,02:A6:B8:7F:47:77,9,3,
mpd-ecal-hs3-adc-11,,02:A6:B8:6B:92:B0,9,3,
mpd-ecal-hs3-adc-12,,02:A6:B8:80:4C:12,9,3,
mpd-ecal-hs4-adc-1,,02:A6:B8:D0:EE:06,10,4,
mpd-ecal-hs4-adc-2,,02:A6:B8:D0:AD:99,10,4,
mpd-ecal-hs4-adc-3,,02:A6:B8:D1:51:AE,10,4,
mpd-ecal-hs4-adc-4,,02:A6:B8:76:19:07,10,4,
mpd-ecal-hs4-adc-5,,02:A6:B8:11:B1:C3,11,4,
mpd-ecal-hs4-adc-6,,02:A6:B8:D1:0A:BE,11,4,
mpd-ecal-hs4-adc-7,,02:A6:B8:AD:E4:03,11,4,
mpd-ecal-hs4-adc-8,,02:A6:B8:D1:79:85,11,4,
mpd-ecal-hs4-adc-9,,02:A6:B8:6B:92:C2,12,4,
mpd-ecal-hs4-adc-10,,02:A6:B8:6B:92:B3,12,4,
mpd-ecal-hs4-adc-11,,02:A6:B8:7F:52:4F,12,4,
mpd-ecal-hs4-adc-12,,02:A6:B8:D1:14:C0,12,4,
mpd-ecal-hs5-adc-1,,02:A6:B8:80:A4:75,13,5,
mpd-ecal-hs5-adc-2,,02:A6:B8:7F:65:CD,13,5,
mpd-ecal-hs5-adc-3,,02:A6:B8:7F:5D:81,13,5,
mpd-ecal-hs5-adc-4,,02:A6:B8:7F:4D:81,13,5,
mpd-ecal-hs5-adc-5,,02:A6:B8:7F:98:80,14,5,
mpd-ecal-hs5-adc-6,,02:A6:B8:6C:75:B6,14,5,
mpd-ecal-hs5-adc-7,,02:A6:B8:7F:55:10,14,5,
mpd-ecal-hs5-adc-8,,02:A6:B8:80:29:79,14,5,
mpd-ecal-hs5-adc-9,,02:A6:B8:80:28:CA,15,5,
